,num,time,name,latitude,longitude,likes,comments,hashtag,code,address
0,2,2021-04-07,서서울cc,37.731343227853,126.89645841821,0,0,"['#골프', '#오비2', '#78타', '#벚꽃', '#golf']",CNXjUvZMBFX,경기 파주시 광탄면 용미리 236-5
1,4,2021-04-07,Suwon,37.2824,127.0183,2,0,"['#개맘', '#벚꽃']",CNXjTJun7ra,경기 수원시 팔달구 매향동 159
2,6,2021-04-07,레이크사이드cc,37.319467048977,127.17915219115,0,0,"['#벚꽃', '#여름', '#빡세게일하고', '#쉬엄쉬엄', '#놀기도하고', '#맘가는대로', '#내맘대로', '#데일리그램']",CNXjO1Cs9Jw,경기 용인시 처인구 모현읍 능원리 650-57
3,6,2021-04-07,플라자cc용인,37.2361,127.201,2,0,"['#용인플라자cc', '#골프', '#벚꽃', '#꽃스타그램', '#운동하는여자', '#꽃비']",CNXjOuMjHIj,경기 용인시 처인구 김량장동 324-14
4,7,2021-04-07,김포한강신도시,37.642586973132,126.63535209988,10,1,[],CNXihF2lLY5,경기 김포시 마산동 615-1
5,7,2021-04-07,강원도,38.196266977063,128.57348701528,18,2,[],CNXi_fslzni,강원 속초시 교동 962-3
6,7,2021-04-07,"Seoul, Korea",37.51502,127.01648,2,2,[],CNXi_UnlX6x,서울 서초구 잠원동 18-2
7,9,2021-04-07,E-World,35.852631245446,128.56535109167,84,2,[],CNXWeM3rp9m,대구 달서구 두류동 산 302-11
8,10,2021-04-07,여의도 한강공원,37.526906,126.934372,219,6,[],CNXPrWJnyRA,서울 영등포구 여의도동 85
9,10,2021-04-07,Jeju City,33.5097,126.522,512,34,[],CNWZCimHhbc,제주특별자치도 제주시 삼도이동 199-36
10,11,2021-04-07,"대구 - Daegu, South Korea",35.857866210071,128.51173427409,6,0,"['#instagood', '#instadaily', '#instapic', '#daily', '#travel', '#cherryblossom', '#blossom', '#flowers', '#sakura', '#pink', '#film', '#korea', '#daegu', '#일상', '#데일리', '#데일리룩', '#인물사진', '#맞팔', '#벚꽃', '#꽃놀이', '#핑크', '#한국', '#대구', '#벚꽃명소', '#벚꽃축제', '#корея', '#сакура', '#тэгу']",CNXjM97nfFD,대구 달서구 이곡동 1306-4
11,12,2021-04-07,광교아브뉴프랑,37.290232112122,127.050169327,0,0,"['#광교호수공원', '#광교아브뉴프랑', '#마호가니카페', '#도레도레', '#마호가니', '#45파이', '#광교디저트카페', '#디저트맛집', '#아브뉴프랑', '#45파이딸기', '#딸기디저트', '#광교카페', '#커피맛집', '#아메리카노', '#아브뉴프랑맛집', '#벚꽃']",CNXjLPDhcyh,경기 수원시 영통구 이의동 1332
13,13,2021-04-07,제이드가든,37.832719965727,127.54216972879,8,2,[],CNXjH8UnfDQ,강원 춘천시 남산면 서천리 701
14,14,2021-04-07,회룡 중랑천,37.724096493359,127.05010721111,0,0,"['#회룡역', '#벚꽃', '#봄']",CNXjHxfDmDy,경기 의정부시 호원동 37-8
